Intimidation,Highway/road/alley,NB,1
Intimidation,Specialty store,VA,2
Arson,Department store,WI,1
Robbery,Parking lot/garage,AK,1
Simple asslt,Govt/public building,DC,1
Intimidation,Jail/prison,DC,1
Agg asslt,Daycare facility,TX,1
Intimidation,Residence/home,ID,18
Agg asslt,Other/unknown,MA,20
Robbery,Field/woods,MI,1
Destruct/vandalism,Field/woods,NH,3
Simple asslt,Hotel/motel,NJ,1
Destruct/vandalism,Highway/road/alley,OR,27
Simple asslt,School--college/university,TN,4
Simple asslt,Church/Synagogue/Temple,WA,3
Weapon law violations,Highway/road/alley,WV,1
Destruct/vandalism,Bar,MO,1
Simple asslt,Service/gas station,NJ,2
Intimidation,Parking lot/garage,OK,2
Robbery,Highway/road/alley,VA,4
False pretenses/swindle/conf game,Residence/home,OH,1
Intimidation,Department store,PA,1
Agg asslt,Lake/waterway,SC,1
Destruct/vandalism,Convenience store,VT,1
Destruct/vandalism,Other/unknown,WV,2
Simple asslt,Restaurant,CO,1
Agg asslt,Park/playground,DC,1
Agg asslt,Hotel/motel,MA,2
Intimidation,Drug store/dr office/hosp,NB,1
Arson,Highway/road/alley,OH,1
Agg asslt,Service/gas station,OK,1
Intimidation,Church/Synagogue/Temple,TX,4
Burg/B & E,Construction site,TX,1
Simple asslt,Grocery/supermarket,AK,1
Simple asslt,Grocery/supermarket,CO,1
Simple asslt,School--elementary/secondary,CA,43
Intimidation,Liquor store,CA,2
Intimidation,School/college,KS,5
Intimidation,Drug store/dr office/hosp,KY,3
Credit card/ATM fraud,Department store,KY,1
Simple asslt,Drug store/dr office/hosp,MI,10
Simple asslt,Restaurant,MI,13
Agg asslt,Parking lot/garage,MN,4
Intimidation,Highway/road/alley,ND,4
Intimidation,Other/unknown,OH,49
False pretenses/swindle/conf game,Residence/home,TN,1
Destruct/vandalism,Highway/road/alley,IN,10
All other larceny,Parking lot/garage,IL,1
Motor vehicle theft,Office building,OH,1
Intimidation,Arena/stadium/fairgrounds/coliseum,NC,1
Destruct/vandalism,Hotel/motel,OR,1
Shoplifting,Service/gas station,MI,1
Agg asslt,Church/Synagogue/Temple,MN,1
Simple asslt,Highway/road/alley,AZ,63
Agg asslt,Bar,CO,8
Intimidation,Restaurant,TN,11
Agg asslt,Specialty store,TN,3
Fondling (Indecent Liberties/Child Molesting),Residence/home,TN,5
Simple asslt,Govt/public building,WA,3
Shoplifting,Department store,WV,7
Agg asslt,Jail/prison,AL,1
Intimidation,School/college,CA,1
Simple asslt,Residence/home,IA,3
Intimidation,Grocery/supermarket,PA,2
Intimidation,Service/gas station,TN,2
Simple asslt,Govt/public building,LA,2
Simple asslt,Highway/road/alley,LA,6
Destruct/vandalism,Office building,ND,1
Weapon law violations,Residence/home,TX,1
Destruct/vandalism,Park/playground,VA,7
Credit card/ATM fraud,Tribal lands,WA,1
All other larceny,Govt/public building,KS,1
Simple asslt,Jail/prison,LA,3
Drug/Narc violations,School/college,TX,1
Simple asslt,Parking lot/garage,DC,1
Burg/B & E,Restaurant,UT,1
Shoplifting,Drug store/dr office/hosp,WA,1
Destruct/vandalism,Terminal,KY,1
Destruct/vandalism,Church/Synagogue/Temple,MA,27
Destruct/vandalism,Bar,MI,1
Pornography/obscene material,Residence/home,MI,1
Robbery,Highway/road/alley,MN,17
Intimidation,School/college,MO,8
Destruct/vandalism,School--elementary/secondary,OH,16
Destruct/vandalism,School--elementary/secondary,OR,9
Agg asslt,Residence/home,TX,34
Agg asslt,Liquor store,AL,1
Simple asslt,Bar,AR,2
Simple asslt,Convenience store,CO,3
Agg asslt,Service/gas station,MA,3
Agg asslt,Service/gas station,MD,1
Simple asslt,Field/woods,MO,1
Simple asslt,Department store,NJ,2
Drug/Narc violations,Parking lot/garage,RI,1
Credit card/ATM fraud,Other/unknown,MO,1
Arson,Highway/road/alley,NJ,1
Intimidation,Church/Synagogue/Temple,PA,3
Agg asslt,Residence/home,NB,2
Robbery,Other/unknown,OH,3
Destruct/vandalism,Restaurant,KY,1
Simple asslt,Service/gas station,VA,1
Destruct/vandalism,Other/unknown,AR,4
Burg/B & E,School--college/university,CO,1
Agg asslt,Office building,MI,3
Simple asslt,Highway/road/alley,NJ,34
Simple asslt,Residence/home,OH,77
Intimidation,Bar,OH,16
Kidnapping/abduction,Govt/public building,TN,1
Destruct/vandalism,Church/Synagogue/Temple,TX,28
Rape,Office building,WA,1
Simple asslt,Govt/public building,AL,1
Simple asslt,Govt/public building,AZ,2
Sodomy,Field/woods,CO,1
Intimidation,Church/Synagogue/Temple,FL,1
Burg/B & E,Other/unknown,IL,1
Simple asslt,Restaurant,IN,2
Arson,Residence/home,SC,2
